Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
eth,2024,1,16,2515.96,2612.79,2507.91,12057109216.99,306419595177.48,128.26,2371.13,2395.03,107.7,58.91,2592.0,2531.9
eth,2024,1,17,2590.12,2594.69,2515.56,15327106103.65,306835113536.74,131.77,2379.42,2405.56,108.33,56.93,2531.9,2471.55
eth,2024,1,18,2533.52,2549.24,2436.94,14412902514.28,301792708427.78,131.38,2387.01,2410.64,109.76,56.27,2471.55,2494.36
eth,2024,1,19,2473.13,2505.19,2421.78,16761992257.42,297574351934.61,131.02,2395.67,2417.08,111.2,57.06,2494.36,2475.82
eth,2024,1,20,2490.86,2492.19,2460.68,13074922526.49,297683211415.22,127.58,2405.26,2421.6,109.1,57.95,2475.82,2462.92
eth,2024,1,21,2477.14,2489.57,2462.72,6537648899.47,298099758514.01,128.0,2408.46,2424.78,103.29,52.91,2462.92,2314.07
eth,2024,1,22,2468.23,2473.2,2313.3,11764931212.29,287681259639.21,128.96,2406.85,2416.26,105.56,48.65,2314.07,2245.97
eth,2024,1,23,2318.77,2352.11,2175.4,20446886694.74,271811218929.8,131.41,2404.51,2403.16,108.19,48.06,2245.97,2242.57
eth,2024,1,24,2247.32,2266.54,2204.48,18603345288.3,268429810426.57,134.02,2401.91,2390.81,108.66,47.86,2242.57,2225.07
eth,2024,1,25,2238.79,2246.07,2184.66,12003582601.41,267083306613.24,136.9,2399.28,2378.06,109.28,47.83,2225.07,2273.85
eth,2024,1,26,2222.73,2287.52,2204.11,12957499757.09,270076249386.97,139.05,2395.65,2370.04,109.33,46.95,2273.85,2279.89
eth,2024,1,27,2271.68,2293.06,2260.03,11029384042.45,273665211330.21,140.84,2392.34,2363.11,107.42,47.23,2279.89,2265.78
eth,2024,1,28,2278.77,2321.11,2253.84,8292817062.37,274940695709.22,138.37,2394.48,2355.62,100.44,51.97,2265.78,2322.18
eth,2024,1,29,2260.54,2328.67,2249.48,10111488487.85,274762335728.98,136.92,2396.43,2353.05,100.21,51.8,2322.18,2352.95
eth,2024,1,30,2319.58,2392.61,2308.0,13153625531.21,281023747888.48,134.62,2399.85,2353.04,100.92,53.1,2352.95,2290.06
eth,2024,1,31,2352.1,2353.84,2276.81,14902809883.08,279639745586.11,132.61,2401.77,2348.2,101.98,51.7,2290.06,2309.79
eth,2024,2,1,2291.85,2314.84,2250.15,14713552489.6,274740630302.72,128.87,2405.2,2345.24,102.75,53.03,2309.79,2315.88
eth,2024,2,2,2312.28,2330.68,2293.0,11267584415.85,278070507708.15,129.28,2404.57,2342.98,96.95,49.4,2315.88,2308.4
eth,2024,2,3,2320.03,2339.32,2307.44,8691507738.8,279054963723.68,130.18,2403.12,2340.32,93.56,48.62,2308.4,2300.79
eth,2024,2,4,2309.66,2329.71,2288.11,6526883552.95,278016924534.7,125.99,2391.76,2337.28,84.37,36.81,2300.79,2307.89
eth,2024,2,5,2298.92,2345.68,2286.61,9642150758.53,277896391753.84,117.51,2379.23,2335.02,82.22,35.04,2307.89,2378.99
eth,2024,2,6,2305.99,2395.31,2305.83,11649482311.46,281834358102.78,113.51,2373.37,2338.4,76.38,42.84,2378.99,2433.47
eth,2024,2,7,2383.42,2450.14,2363.74,12917910325.37,287504436023.75,106.1,2367.6,2345.72,76.37,42.95,2433.47,2430.8
eth,2024,2,8,2433.94,2466.06,2425.3,13961323062.03,292905294987.9,104.58,2365.82,2352.26,73.95,47.6,2430.8,2496.33
eth,2024,2,9,2433.17,2529.01,2430.79,15129231226.44,298526079407.71,103.32,2364.93,2363.34,74.9,48.83,2496.33,2508.16
eth,2024,2,10,2500.15,2524.66,2486.24,14142539283.32,301449607250.54,96.79,2361.58,2374.48,72.24,45.26,2508.16,2513.7
eth,2024,2,11,2506.41,2550.71,2504.17,10127308481.75,303284991361.29,95.52,2360.85,2385.19,70.94,48.9,2513.7,2665.87
eth,2024,2,12,2514.07,2670.18,2481.64,11554966027.17,305929276731.15,111.47,2368.62,2406.78,73.99,60.53,2665.87,2651.69
eth,2024,2,13,2672.71,2692.19,2609.15,20612895019.3,319145077879.9,122.74,2374.91,2425.62,73.97,58.61,2651.69,2785.62
eth,2024,2,14,2647.81,2791.7,2633.06,18386226736.24,326797392771.88,146.66,2387.31,2453.31,79.06,65.05,2785.62,2830.39
eth,2024,2,15,2784.52,2867.71,2775.42,20182399805.36,337987621112.97,170.96,2402.01,2482.32,81.67,67.32,2830.39,2814.59
eth,2024,2,16,2832.51,2862.73,2774.67,20277716111.85,339213493140.41,188.62,2422.03,2507.88,78.8,76.97,2814.59,2800.97
eth,2024,2,17,2811.47,2813.6,2736.67,15941577206.05,335254980614.46,199.39,2444.23,2530.42,74.81,81.77,2800.97,2885.08
eth,2024,2,18,2799.89,2902.52,2781.72,13290934981.21,339170555010.18,213.24,2469.93,2557.7,77.16,83.67,2885.08,2949.56
eth,2024,2,19,2889.28,2987.99,2872.95,17499642240.53,351110983418.35,227.34,2498.91,2587.85,79.31,86.18,2949.56,3018.27
eth,2024,2,20,2954.88,3026.29,2892.19,22327755664.53,353847628614.95,244.73,2528.68,2620.96,81.33,86.45,3018.27,2979.38
eth,2024,2,21,3016.91,3019.17,2889.55,26361613659.06,353887767742.2,254.87,2556.66,2648.53,85.2,83.18,2979.38,2976.66
eth,2024,2,22,2966.7,3033.23,2914.92,25167939532.27,357466391574.67,260.66,2585.1,2673.77,87.24,84.09,2976.66,2933.47
eth,2024,2,23,2975.24,2995.9,2917.42,21874670149.49,354623730514.94,263.62,2609.55,2693.75,87.21,79.69,2933.47,2999.72
eth,2024,2,24,2929.91,3008.6,2916.32,15642677136.08,356516681868.89,269.07,2635.42,2717.28,87.52,80.37,2999.72,3116.69
eth,2024,2,25,3002.06,3118.27,2995.76,15293885853.9,366691756027.66,275.57,2668.49,2748.01,89.34,86.94,3116.69,3181.3
eth,2024,2,26,3111.11,3198.43,3045.7,22535983213.34,374864149962.25,283.32,2703.35,2781.34,92.86,87.44,3181.3,3247.6
eth,2024,2,27,3181.72,3288.77,3172.43,30298112730.05,389455446473.14,291.39,2740.61,2817.2,96.0,88.06,3247.6,3384.59
eth,2024,2,28,3248.34,3480.54,3239.56,30562577565.26,398090927686.07,304.1,2783.66,2860.85,104.37,89.75,3384.59,3352.43
eth,2024,2,29,3382.01,3519.0,3312.45,47452741624.53,412730072016.78,307.24,2825.73,2898.66,110.96,88.15,3352.43,3443.79
eth,2024,3,1,3347.34,3455.78,3347.34,31180734859.74,409941446388.88,311.43,2871.16,2940.6,112.94,88.84,3443.79,3432.71
eth,2024,3,2,3439.58,3465.57,3413.03,19683483285.64,412506608406.66,313.34,2913.31,2978.45,111.46,87.57,3432.71,3498.58
eth,2024,3,3,3432.5,3501.23,3396.43,16299914909.3,414306161157.83,317.76,2955.92,3018.46,112.2,87.67,3498.58,3635.94
eth,2024,3,4,3498.83,3643.8,3472.82,25816553469.0,424869505147.5,326.08,3004.12,3065.96,117.41,88.91,3635.94,3568.88
eth,2024,3,5,3634.04,3820.76,3371.54,46819957537.75,439895581457.54,327.04,3047.02,3104.64,131.45,84.6,3568.88,3828.6
eth,2024,3,6,3561.74,3897.51,3511.84,65334878536.8,452570501214.96,342.65,3099.84,3160.33,145.34,86.72,3828.6,3871.59
eth,2024,3,7,3825.59,3935.99,3747.32,36303801550.45,459429052528.4,353.32,3154.16,3215.05,151.02,86.99,3871.59,3894.95
eth,2024,3,8,3877.81,3993.34,3844.08,31443856716.76,471804831393.94,367.76,3203.32,3267.35,149.45,86.01,3894.95,3922.04
eth,2024,3,9,3889.72,3948.84,3888.25,28234929441.53,470829221073.52,376.03,3254.14,3317.71,148.55,86.94,3922.04,3895.09
eth,2024,3,10,3917.63,3970.35,3835.26,17353264580.23,472096230521.85,383.82,3298.51,3362.12,147.61,84.4,3895.09,4073.13
eth,2024,3,11,3889.35,4083.22,3807.21,30778140301.31,478841483542.53,400.77,3348.22,3416.81,154.96,85.59,4073.13,3982.96
eth,2024,3,12,4076.27,4094.18,3874.95,34803694659.45,481090290652.93,404.06,3394.96,3460.36,160.2,82.1,3982.96,4018.06
eth,2024,3,13,3982.28,4081.83,3964.34,33882154548.17,483007794678.56,402.83,3443.64,3503.26,161.83,83.05,4018.06,3890.38
eth,2024,3,14,4011.64,4019.0,3751.66,29713647292.99,472220454419.52,394.85,3483.85,3533.04,167.69,76.66,3890.38,3749.2
eth,2024,3,15,3894.58,3933.17,3607.82,44055756685.15,447371462752.54,381.94,3515.84,3549.67,176.1,70.38,3749.2,3532.46
eth,2024,3,16,3749.92,3783.68,3507.9,31656354992.61,442519542080.18,367.6,3536.41,3548.35,181.77,62.19,3532.46,3663.62
eth,2024,3,17,3555.73,3682.98,3442.99,30996885011.73,431056161634.24,349.42,3563.78,3557.21,186.18,65.54,3663.62,3528.64
eth,2024,3,18,3649.19,3649.19,3472.27,25266583604.72,428802919561.72,327.53,3585.86,3555.01,188.53,61.82,3528.64,3170.37
eth,2024,3,19,3529.83,3547.17,3159.78,37630296750.11,399043149797.31,310.88,3595.33,3525.43,200.88,54.47,3170.37,3514.81
eth,2024,3,20,3164.13,3531.34,3078.06,47043055768.72,395100234290.92,285.81,3615.94,3524.61,215.32,58.8,3514.81,3501.31
eth,2024,3,21,3509.12,3585.69,3425.04,44245048506.2,422368503013.95,267.59,3631.32,3522.82,216.85,56.81,3501.31,3326.76
eth,2024,3,22,3505.38,3551.83,3265.45,27183652182.03,410744031950.05,258.84,3637.14,3507.74,222.2,52.48,3326.76,3356.4
eth,2024,3,23,3331.12,3431.28,3288.29,24481657007.92,404503390067.96,252.86,3641.49,3496.1,223.26,51.88,3356.4,3460.48
eth,2024,3,24,3345.32,3473.09,3309.74,16352496809.59,405839941531.16,250.09,3644.53,3493.36,220.16,51.32,3460.48,3591.71
eth,2024,3,25,3452.44,3649.44,3433.46,19646724946.36,422803962851.85,242.92,3654.1,3500.92,220.53,54.04,3591.71,3595.47
eth,2024,3,26,3587.8,3676.74,3553.26,26064494721.57,434136144727.84,239.32,3660.17,3508.19,221.14,52.64,3595.47,3509.63
eth,2024,3,27,3591.19,3660.06,3470.64,23415479518.85,427963136941.01,236.75,3663.24,3508.3,226.61,51.3,3509.63,3567.05
eth,2024,3,28,3505.83,3611.66,3476.25,25601507536.76,427348384029.58,235.16,3665.98,3512.82,227.84,51.16,3567.05,3520.5
eth,2024,3,29,3567.22,3586.33,3487.58,18536682158.29,425081161185.09,236.9,3661.36,3513.41,224.95,47.98,3520.5,3519.14
eth,2024,3,30,3516.41,3568.24,3497.05,16656105596.71,423417638388.8,237.91,3659.37,3513.86,209.83,49.11,3519.14,3653.65
eth,2024,3,31,3517.07,3659.47,3517.07,14470853501.92,433640851431.51,235.29,3652.38,3524.61,200.09,46.71,3653.65,3511.7
eth,2024,4,1,3652.72,3652.72,3429.84,18201134326.13,425281550994.62,232.31,3637.98,3523.62,201.46,43.48,3511.7,3279.56
eth,2024,4,2,3511.56,3511.56,3229.81,28351731556.36,400451645261.01,236.51,3613.37,3504.84,206.76,39.63,3279.56,3321.23
eth,2024,4,3,3283.17,3365.9,3221.51,27226114831.3,398621870510.17,234.35,3589.33,3490.72,210.11,39.93,3321.23,3331.39
eth,2024,4,4,3314.83,3439.68,3262.69,20347805872.01,401101564956.02,230.8,3566.78,3478.46,211.79,40.5,3331.39,3326.06
eth,2024,4,5,3324.03,3343.09,3225.0,23831950603.12,396494426863.84,209.93,3536.9,3466.74,205.47,36.63,3326.06,3365.17
eth,2024,4,6,3318.11,3397.73,3316.72,16843599707.25,401605907921.05,190.72,3512.19,3458.93,199.95,38.74,3365.17,3462.05
eth,2024,4,7,3360.59,3463.5,3352.81,12749497898.47,408159883981.92,159.06,3489.95,3459.17,199.67,40.09,3462.05,3699.54
eth,2024,4,8,3456.36,3724.64,3422.83,20463939705.55,430431125658.29,142.79,3482.32,3477.66,201.05,46.73,3699.54,3510.22
eth,2024,4,9,3702.18,3719.87,3480.26,27414389831.86,432872592945.63,131.75,3472.76,3480.16,197.62,45.97,3510.22,3547.53
eth,2024,4,10,3505.53,3559.97,3426.3,25494309764.85,421861208539.62,132.07,3473.36,3485.34,191.94,50.27,3547.53,3516.7
eth,2024,4,11,3544.07,3619.64,3487.42,23359330960.54,425841437102.52,126.4,3467.48,3487.75,187.63,47.26,3516.7,3245.1
eth,2024,4,12,3515.95,3559.3,3207.71,20597446897.69,413222734268.31,133.22,3456.14,3469.09,194.61,44.97,3245.1,3024.36
eth,2024,4,13,3231.16,3297.64,2874.4,32796794122.34,384236672197.23,148.58,3450.3,3434.88,196.05,47.28,3024.36,3155.78
eth,2024,4,14,3020.68,3167.68,2921.9,45094615982.21,366674727759.56,159.07,3435.94,3413.41,187.75,42.73,3155.78,3104.89
eth,2024,4,15,3148.31,3274.64,3046.62,30679480180.11,380234324207.19,171.55,3420.08,3389.68,190.44,42.09,3104.89,3085.25
eth,2024,4,16,3104.61,3120.1,3011.6,29508772950.4,369044674825.86,183.41,3410.42,3366.26,183.33,44.86,3085.25,2986.93
eth,2024,4,17,3086.25,3123.38,2940.85,23766865779.35,365614112033.71,201.9,3395.64,3337.08,184.91,42.37,2986.93,3066.91
eth,2024,4,18,2994.93,3088.82,2964.36,24462589620.69,364033049456.68,211.74,3379.9,3316.3,183.35,41.79,3066.91,3066.99
eth,2024,4,19,3064.69,3119.26,2883.56,26626321057.44,367780406783.85,215.84,3358.91,3297.12,184.14,38.41,3066.99,3156.49
eth,2024,4,20,3061.11,3164.93,3029.35,18414450765.39,370812382193.73,213.63,3341.35,3286.3,184.63,40.66,3156.49,3151.79
eth,2024,4,21,3152.64,3197.11,3125.98,13828359560.83,379923371242.6,213.88,3327.04,3275.96,179.89,42.11,3151.79,3205.16
eth,2024,4,22,3154.88,3236.29,3139.15,15268999696.66,384038270821.73,209.15,3312.56,3270.51,178.36,42.01,3205.16,3222.95
eth,2024,4,23,3203.51,3259.67,3161.19,15615157883.37,390925135790.06,205.25,3300.66,3266.85,178.35,43.35,3222.95,3143.41
