Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
btc,2024,1,10,46106.95,47629.98,44632.42,62473093954.78,897575436530.24,1377.3,43629.25,43721.61,1650.3,60.83,46564.21,46356.96
btc,2024,1,11,46639.46,48853.77,45699.32,86342160205.33,912540670422.39,1403.11,43825.58,43924.33,1731.68,62.68,46356.96,42896.05
btc,2024,1,12,46342.02,46416.33,41903.92,64928724108.98,883712208328.15,1395.93,43834.78,43845.23,1829.98,50.53,42896.05,42840.02
btc,2024,1,13,42797.5,43250.08,42463.07,59386885600.35,840023043894.78,1375.22,43856.37,43767.91,1802.73,51.27,42840.02,41737.9
btc,2024,1,14,42847.96,43054.18,41737.9,25534697690.22,838079464709.92,1438.86,43780.05,43611.76,1773.2,45.47,41737.9,42611.43
btc,2024,1,15,41746.55,43369.82,41746.55,33261581208.31,835207392070.87,1457.55,43730.53,43534.81,1801.73,47.15,42611.43,43137.2
btc,2024,1,16,42523.93,43525.03,42090.04,35476803078.46,841661192051.85,1461.52,43698.06,43504.22,1821.99,48.17,43137.2,42764.71
btc,2024,1,17,43137.99,43188.0,42259.96,37465467149.12,837594185391.53,1473.35,43659.56,43447.34,1834.12,47.84,42764.71,41296.92
btc,2024,1,18,42777.87,42916.99,40751.17,33298896660.06,828414705555.57,1543.13,43590.72,43281.92,1877.65,46.27,41296.92,41627.16
btc,2024,1,19,41316.12,42186.01,40336.03,43162587574.99,809637385960.16,1592.26,43511.25,43154.63,1913.18,45.64,41627.16,41668.99
btc,2024,1,20,41659.07,41857.38,41467.97,34880561427.48,815917942586.99,1623.13,43477.22,43040.35,1854.64,48.04,41668.99,41549.91
btc,2024,1,21,41696.07,41864.33,41530.03,17460482792.77,817357400243.9,1668.34,43403.85,42925.7,1809.19,45.63,41549.91,39516.98
btc,2024,1,22,41580.35,41685.73,39516.98,28953952802.55,798793726218.21,1835.66,43280.84,42663.49,1839.58,43.08,39516.98,39873.77
btc,2024,1,23,39567.96,40166.68,38604.83,47245661174.88,773227103228.27,1944.99,43193.5,42448.9,1848.03,45.05,39873.77,40145.83
btc,2024,1,24,39904.06,40538.01,39571.64,41582556190.4,782819018315.98,2030.21,43111.38,42271.74,1845.48,45.37,40145.83,39929.16
btc,2024,1,25,40085.18,40278.07,39579.43,30611272945.24,783529941656.01,2121.82,43019.58,42091.54,1840.86,44.87,39929.16,41866.1
btc,2024,1,26,39961.1,42205.19,39829.36,32727132166.55,802733300472.93,2120.95,42929.34,42074.2,1860.13,44.97,41866.1,42112.7
btc,2024,1,27,41814.0,42190.01,41473.93,33456456024.33,820242705824.46,2083.58,42815.54,42077.16,1822.1,43.48,42112.7,42018.7
btc,2024,1,28,42098.02,42834.18,41696.43,23994200912.28,828469290959.95,2089.67,42783.57,42072.66,1685.87,47.98,42018.7,43269.41
btc,2024,1,29,42031.02,43283.58,41847.34,27591401455.66,832917377571.71,2071.94,42746.82,42164.72,1662.16,47.66,43269.41,42915.56
btc,2024,1,30,43302.73,43791.13,42811.98,35745948974.37,851479185369.36,2052.82,42698.96,42222.48,1657.85,47.0,42915.56,42611.24
btc,2024,1,31,42945.4,43741.81,42287.98,36387883734.6,841845565656.91,2036.44,42645.74,42252.38,1686.97,46.68,42611.24,43069.45
btc,2024,2,1,42587.2,43239.64,41932.02,39191696926.07,832833554971.97,2023.13,42614.5,42315.23,1706.6,48.09,43069.45,43189.15
btc,2024,2,2,43082.94,43424.42,42629.75,33012863715.57,844822065348.73,1821.71,42466.06,42382.46,1580.8,39.4,43189.15,42970.67
btc,2024,2,3,43185.79,43355.96,42925.88,26212803849.49,845608019938.08,1663.82,42341.61,42427.71,1500.82,40.79,42970.67,42609.98
btc,2024,2,4,43006.66,43107.98,42228.04,21504822984.78,841321775010.32,1415.03,42183.44,42441.73,1416.11,38.22,42609.98,42713.66
btc,2024,2,5,42582.94,43494.23,42286.04,27475772366.96,839543655852.06,1125.23,42037.71,42462.64,1338.26,39.08,42713.66,43105.15
btc,2024,2,6,42708.71,43360.57,42578.66,29890974499.01,842823370827.8,1132.63,42046.07,42512.07,1189.04,50.77,43105.15,44328.04
btc,2024,2,7,43096.02,44334.08,42795.21,27981396003.08,849011742925.91,1212.38,42105.59,42651.76,1219.11,55.04,44328.04,45315.99
btc,2024,2,8,44345.87,45550.04,44345.87,38857280496.85,880901927478.84,1368.33,42248.71,42856.7,1214.63,62.2,45315.99,47093.93
btc,2024,2,9,45288.66,48076.09,45252.45,47445816052.15,917625452532.66,1676.76,42428.01,43182.64,1262.64,64.4,47093.93,47760.23
btc,2024,2,10,47122.11,48080.16,46879.57,45283385490.22,929109405398.5,1984.85,42612.94,43534.76,1253.27,64.72,47760.23,48269.68
btc,2024,2,11,47751.14,48534.61,47608.53,30911023232.65,944665729688.23,2285.05,42833.13,43898.99,1253.19,67.38,48269.68,50017.36
btc,2024,2,12,48297.37,50255.98,47745.03,38777494088.97,957112042990.74,2673.37,43181.95,44369.63,1267.0,77.05,50017.36,49741.98
btc,2024,2,13,49917.25,50204.94,48449.96,53115326968.27,973839645174.22,2954.58,43506.54,44782.89,1263.2,75.26,49741.98,51819.74
btc,2024,2,14,49699.59,51945.99,49324.02,51748211301.51,997549034115.48,3361.05,43912.57,45324.18,1352.5,78.04,51819.74,51888.33
btc,2024,2,15,51783.92,52771.03,51325.97,53084197642.98,1021838077939.88,3679.19,44326.11,45829.12,1396.93,78.64,51888.33,52121.96
btc,2024,2,16,51880.02,52467.94,51629.9,47646573465.99,1021079205021.53,3852.31,44830.31,46313.18,1343.7,88.78,52121.96,51673.99
btc,2024,2,17,52124.14,52149.08,50630.03,35178091490.83,1013205165333.81,3941.58,45302.32,46725.55,1341.99,86.1,51673.99,52119.06
btc,2024,2,18,51642.61,52338.43,51214.73,31540616364.51,1015642862477.64,4015.65,45781.25,47140.44,1348.28,86.25,52119.06,51739.37
btc,2024,2,19,52126.89,52476.91,51735.45,32201907719.76,1023293740356.05,3993.14,46253.66,47494.2,1349.99,85.4,51739.37,52278.15
btc,2024,2,20,51774.73,52887.96,50803.55,44183700165.34,1018468225252.39,4058.89,46670.14,47862.2,1338.34,84.07,52278.15,51833.0
btc,2024,2,21,52258.8,52341.7,50772.85,52153948766.13,1010598273347.45,4069.69,47058.95,48167.64,1372.45,81.4,51833.0,51339.49
btc,2024,2,22,51849.39,52026.56,50947.82,46651103476.98,1012679602852.48,4015.28,47431.78,48411.63,1370.09,79.35,51339.49,50830.04
